home_team,away_team,date,home_goals,home_assists,home_pens_made,home_pens_att,home_shots,home_shots_on_target,home_cards_yellow,home_cards_red,home_touches,home_tackles,home_interceptions,home_blocks,home_xg,home_npxg,home_xg_assist,home_sca,home_gca,home_passes_completed,home_passes,home_passes_pct,home_progressive_passes,home_carries,home_progressive_carries,home_take_ons,home_take_ons_won,home_passes_total_distance,home_passes_progressive_distance,home_passes_completed_short,home_passes_short,home_passes_pct_short,home_passes_completed_medium,home_passes_medium,home_passes_pct_medium,home_passes_completed_long,home_passes_long,home_passes_pct_long,home_pass_xa,home_assisted_shots,home_passes_into_final_third,home_passes_into_penalty_area,home_crosses_into_penalty_area,home_passes_live,home_passes_dead,home_passes_free_kicks,home_through_balls,home_passes_switches,home_crosses,home_throw_ins,home_corner_kicks,home_corner_kicks_in,home_corner_kicks_out,home_corner_kicks_straight,home_passes_offsides,home_passes_blocked,home_tackles_won,home_tackles_def_3rd,home_tackles_mid_3rd,home_tackles_att_3rd,home_challenge_tackles,home_challenges,home_challenge_tackles_pct,home_challenges_lost,home_blocked_shots,home_blocked_passes,home_tackles_interceptions,home_clearances,home_errors,home_touches_def_pen_area,home_touches_def_3rd,home_touches_mid_3rd,home_touches_att_3rd,home_touches_att_pen_area,home_touches_live_ball,home_take_ons_won_pct,home_take_ons_tackled,home_take_ons_tackled_pct,home_carries_distance,home_carries_progressive_distance,home_carries_into_final_third,home_carries_into_penalty_area,home_miscontrols,home_dispossessed,home_passes_received,home_progressive_passes_received,home_cards_yellow_red,home_fouls,home_fouled,home_offsides,home_pens_won,home_pens_conceded,home_own_goals,home_ball_recoveries,home_aerials_won,home_aerials_lost,home_aerials_won_pct,away_goals,away_assists,away_pens_made,away_pens_att,away_shots,away_shots_on_target,away_cards_yellow,away_cards_red,away_touches,away_tackles,away_interceptions,away_blocks,away_xg,away_npxg,away_xg_assist,away_sca,away_gca,away_passes_completed,away_passes,away_passes_pct,away_progressive_passes,away_carries,away_progressive_carries,away_take_ons,away_take_ons_won,away_passes_total_distance,away_passes_progressive_distance,away_passes_completed_short,away_passes_short,away_passes_pct_short,away_passes_completed_medium,away_passes_medium,away_passes_pct_medium,away_passes_completed_long,away_passes_long,away_passes_pct_long,away_pass_xa,away_assisted_shots,away_passes_into_final_third,away_passes_into_penalty_area,away_crosses_into_penalty_area,away_passes_live,away_passes_dead,away_passes_free_kicks,away_through_balls,away_passes_switches,away_crosses,away_throw_ins,away_corner_kicks,away_corner_kicks_in,away_corner_kicks_out,away_corner_kicks_straight,away_passes_offsides,away_passes_blocked,away_tackles_won,away_tackles_def_3rd,away_tackles_mid_3rd,away_tackles_att_3rd,away_challenge_tackles,away_challenges,away_challenge_tackles_pct,away_challenges_lost,away_blocked_shots,away_blocked_passes,away_tackles_interceptions,away_clearances,away_errors,away_touches_def_pen_area,away_touches_def_3rd,away_touches_mid_3rd,away_touches_att_3rd,away_touches_att_pen_area,away_touches_live_ball,away_take_ons_won_pct,away_take_ons_tackled,away_take_ons_tackled_pct,away_carries_distance,away_carries_progressive_distance,away_carries_into_final_third,away_carries_into_penalty_area,away_miscontrols,away_dispossessed,away_passes_received,away_progressive_passes_received,away_cards_yellow_red,away_fouls,away_fouled,away_offsides,away_pens_won,away_pens_conceded,away_own_goals,away_ball_recoveries,away_aerials_won,away_aerials_lost,away_aerials_won_pct
Manchester United,Leicester City,2018-08-10,2,1,1,1,7,5,2,0,648,26,17,15,1.5,0.7,0.7,14,3,418,522,80.1,27,311,15,14,11,6673,2221,228,247,92.3,119,148,80.4,43,77,55.8,0.3,7,31,2,0,480,38,9,1,8,12,20,2,1,0,1,4,7,13,14,9,3,9,18,50.0,9,5,10,43,36,0,70,222,331,103,9,647,78.6,3,21.4,1575,770,6,2,17,11,416,27,0,11,7,4,0,0,0,64,9,13,40.9,1,0,0,0,13,4,1,0,702,14,12,8,1.8,1.8,0.8,24,2,475,598,79.4,55,476,24,18,9,7658,2469,249,278,89.6,156,193,80.8,43,76,56.6,1.0,9,41,8,1,551,45,15,1,8,27,18,5,3,2,0,2,11,11,3,6,5,3,14,21.4,11,1,7,26,14,0,39,125,375,210,24,702,50.0,9,50.0,2616,1364,30,6,14,17,472,52,0,8,11,2,0,1,0,62,13,9,59.1
Newcastle United,Tottenham Hotspur,2018-08-11,1,1,0,0,15,2,2,0,568,14,20,12,1.0,1.0,0.7,27,2,301,441,68.3,34,249,5,27,15,5465,2164,134,172,77.9,107,139,77.0,40,82,48.8,0.9,8,21,10,2,381,59,12,6,8,12,36,3,1,2,0,1,14,11,9,5,0,5,9,55.6,4,3,9,34,19,2,53,191,255,126,20,568,55.6,12,44.4,1108,448,10,1,17,15,298,34,0,11,12,1,0,0,0,62,32,21,60.4,2,2,0,0,15,5,2,0,776,27,10,17,2.1,2.1,1.9,23,3,500,621,80.5,42,308,12,9,4,8694,3078,245,281,87.2,187,219,85.4,55,88,62.5,0.9,11,37,8,5,569,52,11,2,4,17,24,5,4,1,0,0,11,16,8,18,1,12,27,44.4,15,5,12,37,43,0,76,203,431,146,22,776,44.4,5,55.6,1695,735,11,5,28,9,498,42,0,12,10,0,0,0,0,52,21,32,39.6
Fulham,Crystal Palace,2018-08-11,0,0,0,0,15,6,1,0,847,27,15,5,0.7,0.7,0.5,27,0,622,730,85.2,70,436,17,14,8,11149,3529,275,305,90.2,261,295,88.5,71,104,68.3,0.7,10,49,13,6,687,41,12,3,9,32,16,5,1,4,0,2,6,19,10,15,2,9,21,42.9,12,2,3,42,23,1,62,200,449,199,18,847,57.1,6,42.9,2408,1238,13,2,14,16,622,70,0,9,11,2,0,0,0,58,10,20,33.3,2,2,0,0,12,10,2,0,514,22,14,8,1.0,1.0,0.9,22,4,286,388,73.7,36,233,19,21,12,5249,2459,127,154,82.5,118,148,79.7,34,68,50.0,0.7,10,19,8,2,335,50,11,2,1,12,25,5,0,0,3,3,4,15,11,11,0,6,14,42.9,8,4,4,36,32,0,71,216,208,101,24,514,57.1,9,42.9,1446,827,8,7,14,18,284,36,0,11,9,3,0,0,0,57,20,10,66.7
Bournemouth,Cardiff City,2018-08-11,2,2,0,1,11,3,1,0,678,11,4,11,2.2,1.4,1.3,21,4,432,547,79.0,48,445,25,21,11,7484,2691,201,238,84.5,189,223,84.8,38,66,57.6,1.1,8,21,12,4,491,56,10,2,0,11,31,7,2,2,0,0,15,5,5,6,0,8,17,47.1,9,3,8,15,40,0,44,171,324,187,34,678,52.4,10,47.6,2625,1527,19,8,27,12,432,48,0,11,8,0,1,0,0,58,32,31,50.8,0,0,0,0,10,1,1,0,456,22,15,16,1.6,1.6,1.5,18,0,191,327,58.4,27,179,11,17,9,4015,1807,69,95,72.6,79,114,69.3,33,91,36.3,1.2,8,25,4,1,278,47,10,0,1,18,20,4,4,0,0,2,11,12,13,7,2,10,21,47.6,11,2,14,37,31,0,60,159,188,111,22,456,52.9,8,47.1,1015,483,6,6,9,3,190,27,0,9,11,2,0,1,0,61,31,32,49.2
Watford,Brighton & Hove Albion,2018-08-11,2,2,0,0,19,5,2,0,566,18,12,6,1.3,1.3,0.9,29,4,348,476,73.1,44,313,9,12,6,6348,2583,168,197,85.3,118,150,78.7,50,103,48.5,0.7,13,21,11,3,426,50,17,1,3,20,16,8,3,2,0,0,9,11,5,12,1,2,8,25.0,6,1,5,30,13,0,40,151,266,155,26,566,50.0,6,50.0,1423,727,9,4,10,10,346,43,0,10,15,0,0,0,0,56,15,24,38.5,0,0,0,0,6,0,2,0,537,16,17,14,0.3,0.3,0.3,11,0,317,426,74.4,31,251,11,8,6,6221,2462,143,162,88.3,120,150,80.0,48,88,54.5,0.2,5,24,6,3,380,43,9,0,8,15,19,2,2,0,0,3,8,11,12,4,0,6,12,50.0,6,5,9,33,26,0,72,221,238,81,10,537,75.0,2,25.0,1254,630,7,2,10,16,311,29,0,16,10,3,0,0,0,54,24,15,61.5
Huddersfield Town,Chelsea,2018-08-11,0,0,0,0,6,1,2,0,519,25,16,13,0.3,0.3,0.3,12,0,307,422,72.7,36,267,6,11,6,6585,2358,106,125,84.8,124,158,78.5,67,115,58.3,0.4,5,32,5,4,377,43,9,1,7,23,23,2,1,1,0,2,6,21,11,11,3,4,21,19.0,17,6,7,41,13,0,55,171,221,129,12,519,54.5,5,45.5,1136,466,6,0,16,7,306,35,0,9,8,2,0,1,0,63,21,16,56.8,3,2,1,1,12,3,1,0,806,12,9,6,1.9,1.2,0.9,25,6,615,701,87.7,32,464,29,21,17,9605,3105,330,358,92.2,212,228,93.0,44,72,61.1,0.5,9,34,5,2,650,50,8,0,3,11,30,5,1,2,1,1,7,6,7,5,0,5,11,45.5,6,1,5,21,22,0,73,203,435,177,17,805,81.0,4,19.0,2541,1317,25,8,15,21,611,32,0,8,8,1,1,0,0,55,16,21,43.2
Wolverhampton Wanderers,Everton,2018-08-11,2,1,0,0,11,4,0,0,710,13,9,11,1.0,1.0,0.7,20,3,484,607,79.7,60,388,18,18,9,9009,2611,181,209,86.6,234,269,87.0,57,96,59.4,0.6,5,44,6,2,558,47,9,8,8,25,31,3,1,2,0,2,16,7,9,4,0,4,6,66.7,2,0,11,22,24,1,31,171,369,175,12,710,50.0,8,44.4,2184,1244,13,4,14,14,483,60,0,8,7,2,0,0,0,49,21,22,48.8,2,2,0,0,8,5,1,1,562,23,11,13,1.0,1.0,0.9,13,4,326,448,72.8,23,306,13,7,2,5427,1744,176,209,84.2,106,133,79.7,33,80,41.3,0.6,6,19,4,1,397,48,10,0,5,15,19,6,5,1,0,3,12,15,10,8,5,9,18,50.0,9,2,11,34,33,0,57,186,257,127,18,562,28.6,4,57.1,1317,622,12,2,15,8,324,23,0,7,8,3,0,0,0,42,22,21,51.2
Southampton,Burnley,2018-08-12,0,0,0,0,18,3,0,0,536,16,4,15,1.1,1.1,1.1,35,0,309,417,74.1,33,246,23,15,8,5400,2111,154,177,87.0,112,145,77.2,38,77,49.4,0.7,17,33,6,2,363,52,14,2,4,22,23,8,1,4,3,2,5,7,8,5,3,8,12,66.7,4,4,11,20,30,1,57,159,235,147,21,536,53.3,7,46.7,1568,971,19,4,14,3,305,33,0,10,8,2,0,0,0,42,27,29,48.2,0,0,0,0,16,6,1,0,568,10,6,12,1.4,1.4,0.6,28,0,329,447,73.6,32,221,4,12,4,6476,2554,140,163,85.9,122,154,79.2,50,92,54.3,0.6,10,34,8,1,399,43,10,2,2,20,15,5,1,2,1,5,12,7,4,4,2,7,15,46.7,8,9,3,16,38,0,58,143,274,155,21,568,33.3,8,66.7,995,522,7,1,11,8,325,32,0,9,10,5,0,0,0,43,29,27,51.8
Liverpool,West Ham United,2018-08-12,4,3,0,0,18,8,1,0,802,19,9,10,4.0,4.0,3.2,31,6,627,715,87.7,68,509,23,15,7,10137,3707,311,329,94.5,244,269,90.7,45,66,68.2,3.4,12,56,17,3,678,32,10,3,9,21,12,5,3,0,0,5,13,14,8,9,2,8,15,53.3,7,1,9,28,8,0,46,175,413,219,33,802,46.7,8,53.3,2339,1403,24,6,11,15,624,68,0,14,7,5,0,0,0,58,5,10,33.3,0,0,0,0,5,2,2,0,509,23,11,15,0.7,0.7,0.7,9,0,318,401,79.3,14,242,18,15,7,5353,2236,169,183,92.3,105,128,82.0,33,64,51.6,0.8,4,16,3,0,341,57,18,2,5,12,19,4,1,3,0,3,10,14,17,5,1,8,15,53.3,7,3,12,34,20,0,70,194,257,61,10,509,46.7,8,53.3,1477,772,8,2,9,11,317,14,0,9,14,3,0,0,0,42,10,5,66.7
Arsenal,Manchester City,2018-08-12,0,0,0,0,9,3,2,0,559,22,12,13,0.5,0.5,0.5,16,0,341,442,77.1,36,276,20,7,5,6223,2301,148,166,89.2,143,163,87.7,39,71,54.9,0.6,9,25,7,1,390,45,16,2,4,12,16,2,1,0,0,7,13,14,8,13,1,6,15,40.0,9,3,10,34,24,1,93,241,212,111,15,559,71.4,2,28.6,1704,899,7,3,20,4,341,36,0,11,13,7,0,0,0,57,14,8,63.6,2,2,0,0,17,8,2,0,690,6,12,14,1.7,1.7,0.5,25,4,492,601,81.9,36,486,34,15,9,7980,2720,240,266,90.2,187,210,89.0,42,79,53.2,0.4,9,24,8,0,544,55,17,6,7,15,20,9,1,6,0,2,11,5,2,3,1,2,7,28.6,5,2,12,18,10,1,67,191,331,173,30,690,60.0,6,40.0,2461,1321,21,11,11,16,488,35,0,14,11,2,0,0,0,48,8,14,36.4
